Year,Month,Day,HadGEM2-ES
1980,1,1,38.12
1980,1,2,37.48
1980,1,3,36.86
1980,1,4,36.26
1980,1,5,35.65
1980,1,6,35.04
1980,1,7,34.46
1980,1,8,33.88
1980,1,9,33.31
1980,1,10,38.42
1980,1,11,194.72
1980,1,12,158.43
1980,1,13,76.80
1980,1,14,48.02
1980,1,15,38.73
1980,1,16,35.73
1980,1,17,34.53
1980,1,18,33.80
1980,1,19,33.20
1980,1,20,32.62
1980,1,21,32.09
1980,1,22,31.56
1980,1,23,31.04
1980,1,24,30.52
1980,1,25,30.01
1980,1,26,29.50
1980,1,27,29.01
1980,1,28,28.52
1980,1,29,28.04
1980,1,30,27.56
1980,1,31,27.11
1980,2,1,26.66
1980,2,2,26.21
1980,2,3,25.78
1980,2,4,25.34
1980,2,5,60.40
1980,2,6,37.32
1980,2,7,28.43
1980,2,8,25.40
1980,2,9,69.90
1980,2,10,173.85
1980,2,11,104.25
1980,2,12,51.20
1980,2,13,33.86
1980,2,14,28.55
1980,2,15,26.82
1980,2,16,26.06
1980,2,17,25.55
1980,2,18,25.11
1980,2,19,24.68
1980,2,20,24.27
1980,2,21,23.87
1980,2,22,23.47
1980,2,23,23.08
1980,2,24,22.69
1980,2,25,22.30
1980,2,26,21.92
1980,2,27,21.55
1980,2,28,21.19
1980,2,29,20.83
1980,3,1,20.48
1980,3,2,20.13
1980,3,3,35.95
1980,3,4,198.99
1980,3,5,188.16
1980,3,6,168.47
1980,3,7,74.49
1980,3,8,78.71
1980,3,9,138.55
1980,3,10,78.82
1980,3,11,80.91
1980,3,12,90.84
1980,3,13,46.25
1980,3,14,33.62
1980,3,15,30.03
1980,3,16,28.80
1980,3,17,68.73
1980,3,18,42.23
1980,3,19,32.35
1980,3,20,89.05
1980,3,21,64.80
1980,3,22,39.62
1980,3,23,200.61
1980,3,24,317.34
1980,3,25,333.31
1980,3,26,282.00
1980,3,27,149.00
1980,3,28,87.53
1980,3,29,168.84
1980,3,30,100.57
1980,3,31,91.31
1980,4,1,58.89
1980,4,2,47.96
1980,4,3,44.19
1980,4,4,108.21
1980,4,5,162.93
1980,4,6,158.33
1980,4,7,121.77
1980,4,8,90.66
1980,4,9,79.51
1980,4,10,72.65
1980,4,11,79.12
1980,4,12,80.58
1980,4,13,73.89
1980,4,14,66.89
1980,4,15,63.55
1980,4,16,51.07
1980,4,17,45.50
1980,4,18,42.99
1980,4,19,42.03
1980,4,20,44.04
1980,4,21,82.96
1980,4,22,83.60
1980,4,23,57.33
1980,4,24,45.35
1980,4,25,40.77
1980,4,26,38.93
1980,4,27,37.91
1980,4,28,37.17
1980,4,29,36.54
1980,4,30,35.97
1980,5,1,35.38
1980,5,2,34.87
1980,5,3,34.32
1980,5,4,33.74
1980,5,5,33.16
1980,5,6,32.59
1980,5,7,32.03
1980,5,8,31.47
1980,5,9,30.90
1980,5,10,30.33
1980,5,11,29.81
1980,5,12,29.33
1980,5,13,28.85
1980,5,14,28.39
1980,5,15,27.96
1980,5,16,27.46
1980,5,17,26.95
1980,5,18,26.47
1980,5,19,26.03
1980,5,20,25.61
1980,5,21,25.20
1980,5,22,24.76
1980,5,23,24.34
1980,5,24,23.85
1980,5,25,23.46
1980,5,26,23.11
1980,5,27,22.70
1980,5,28,22.32
1980,5,29,21.97
1980,5,30,21.62
1980,5,31,21.27
1980,6,1,20.91
1980,6,2,20.54
1980,6,3,20.18
1980,6,4,19.83
1980,6,5,19.49
1980,6,6,19.14
1980,6,7,18.77
1980,6,8,18.42
1980,6,9,18.11
1980,6,10,17.85
1980,6,11,17.56
1980,6,12,17.19
1980,6,13,16.84
1980,6,14,16.50
1980,6,15,16.18
1980,6,16,15.95
1980,6,17,15.75
1980,6,18,15.51
1980,6,19,15.25
1980,6,20,15.02
1980,6,21,14.80
1980,6,22,14.54
1980,6,23,14.30
