Year,Month,Day,inmcm4
1980,1,1,66.68
1980,1,2,64.74
1980,1,3,63.29
1980,1,4,62.09
1980,1,5,88.23
1980,1,6,117.94
1980,1,7,100.83
1980,1,8,69.12
1980,1,9,61.29
1980,1,10,58.67
1980,1,11,57.33
1980,1,12,56.29
1980,1,13,55.32
1980,1,14,54.40
1980,1,15,53.49
1980,1,16,52.60
1980,1,17,51.73
1980,1,18,50.86
1980,1,19,49.99
1980,1,20,49.15
1980,1,21,48.32
1980,1,22,47.51
1980,1,23,46.72
1980,1,24,45.94
1980,1,25,45.18
1980,1,26,44.42
1980,1,27,43.67
1980,1,28,44.14
1980,1,29,66.80
1980,1,30,49.24
1980,1,31,43.40
1980,2,1,41.23
1980,2,2,40.18
1980,2,3,39.41
1980,2,4,38.72
1980,2,5,38.06
1980,2,6,37.44
1980,2,7,36.81
1980,2,8,36.18
1980,2,9,35.57
1980,2,10,34.99
1980,2,11,34.41
1980,2,12,33.84
1980,2,13,33.26
1980,2,14,32.69
1980,2,15,38.75
1980,2,16,35.13
1980,2,17,32.42
1980,2,18,82.86
1980,2,19,50.44
1980,2,20,37.03
1980,2,21,32.17
1980,2,22,30.40
1980,2,23,29.76
1980,2,24,209.86
1980,2,25,195.28
1980,2,26,131.11
1980,2,27,64.78
1980,2,28,42.66
1980,2,29,36.10
1980,3,1,33.96
1980,3,2,33.00
1980,3,3,32.34
1980,3,4,31.77
1980,3,5,31.22
1980,3,6,30.69
1980,3,7,30.30
1980,3,8,57.92
1980,3,9,190.11
1980,3,10,303.74
1980,3,11,300.01
1980,3,12,206.04
1980,3,13,122.91
1980,3,14,65.42
1980,3,15,47.94
1980,3,16,42.52
1980,3,17,73.56
1980,3,18,208.63
1980,3,19,321.60
1980,3,20,397.19
1980,3,21,401.98
1980,3,22,342.82
1980,3,23,264.47
1980,3,24,178.06
1980,3,25,112.34
1980,3,26,80.17
1980,3,27,66.89
1980,3,28,66.28
1980,3,29,81.33
1980,3,30,67.72
1980,3,31,60.69
1980,4,1,90.02
1980,4,2,84.95
1980,4,3,91.41
1980,4,4,103.79
1980,4,5,96.97
1980,4,6,133.67
1980,4,7,116.74
1980,4,8,97.05
1980,4,9,73.64
1980,4,10,76.96
1980,4,11,65.94
1980,4,12,61.75
1980,4,13,57.71
1980,4,14,62.23
1980,4,15,56.23
1980,4,16,52.06
1980,4,17,49.95
1980,4,18,48.76
1980,4,19,47.88
1980,4,20,47.05
1980,4,21,46.19
1980,4,22,45.35
1980,4,23,96.40
1980,4,24,131.28
1980,4,25,176.21
1980,4,26,188.29
1980,4,27,163.18
1980,4,28,102.24
1980,4,29,123.40
1980,4,30,150.12
1980,5,1,87.20
1980,5,2,62.37
1980,5,3,53.10
1980,5,4,49.72
1980,5,5,48.28
1980,5,6,47.30
1980,5,7,46.44
1980,5,8,63.78
1980,5,9,56.40
1980,5,10,49.07
1980,5,11,120.95
1980,5,12,110.61
1980,5,13,71.57
1980,5,14,53.16
1980,5,15,46.30
