Year,Month,Day,ACCESS1-3
1980,1,1,4.14
1980,1,2,4.07
1980,1,3,4.00
1980,1,4,3.94
1980,1,5,3.87
1980,1,6,3.81
1980,1,7,3.74
1980,1,8,3.68
1980,1,9,3.62
1980,1,10,3.56
1980,1,11,3.50
1980,1,12,3.44
1980,1,13,3.38
1980,1,14,3.32
1980,1,15,3.27
1980,1,16,3.21
1980,1,17,3.16
1980,1,18,15.78
1980,1,19,18.39
1980,1,20,5.92
1980,1,21,3.94
1980,1,22,3.48
1980,1,23,3.35
1980,1,24,3.28
1980,1,25,3.22
1980,1,26,3.16
1980,1,27,14.55
1980,1,28,3.92
1980,1,29,3.29
1980,1,30,3.16
1980,1,31,3.10
1980,2,1,3.05
1980,2,2,3.00
1980,2,3,2.94
1980,2,4,2.90
1980,2,5,2.85
1980,2,6,2.80
1980,2,7,2.75
1980,2,8,2.71
1980,2,9,2.66
1980,2,10,2.62
1980,2,11,2.57
1980,2,12,2.53
1980,2,13,2.49
1980,2,14,2.44
1980,2,15,2.40
1980,2,16,2.36
1980,2,17,2.32
1980,2,18,2.28
1980,2,19,2.25
1980,2,20,2.21
1980,2,21,2.17
1980,2,22,2.14
1980,2,23,2.10
1980,2,24,2.06
1980,2,25,5.66
1980,2,26,14.42
1980,2,27,8.59
1980,2,28,2.72
1980,2,29,2.31
1980,3,1,2.22
1980,3,2,2.18
1980,3,3,2.14
1980,3,4,2.11
1980,3,5,2.07
1980,3,6,2.04
1980,3,7,2.00
1980,3,8,1.97
1980,3,9,1.94
1980,3,10,1.90
1980,3,11,1.87
1980,3,12,1.84
1980,3,13,1.81
1980,3,14,1.78
1980,3,15,1.75
1980,3,16,26.55
1980,3,17,8.10
1980,3,18,2.75
1980,3,19,3.79
1980,3,20,2.13
1980,3,21,15.58
1980,3,22,40.88
1980,3,23,52.49
1980,3,24,61.60
1980,3,25,47.51
1980,3,26,21.26
1980,3,27,6.88
1980,3,28,5.44
1980,3,29,5.30
1980,3,30,35.79
1980,3,31,62.81
1980,4,1,61.16
1980,4,2,43.69
1980,4,3,14.69
1980,4,4,8.78
1980,4,5,7.61
1980,4,6,7.28
1980,4,7,7.12
1980,4,8,31.48
1980,4,9,42.12
1980,4,10,53.93
1980,4,11,61.87
1980,4,12,68.93
1980,4,13,68.28
1980,4,14,66.61
1980,4,15,59.15
1980,4,16,49.50
1980,4,17,40.43
1980,4,18,42.81
1980,4,19,26.03
1980,4,20,15.91
1980,4,21,15.66
1980,4,22,19.52
1980,4,23,20.45
1980,4,24,21.14
1980,4,25,15.23
1980,4,26,30.36
1980,4,27,31.67
1980,4,28,23.19
1980,4,29,14.38
1980,4,30,12.42
1980,5,1,15.67
1980,5,2,22.72
1980,5,3,19.44
1980,5,4,16.54
1980,5,5,24.01
1980,5,6,16.34
1980,5,7,15.66
1980,5,8,19.41
1980,5,9,17.67
1980,5,10,13.02
1980,5,11,11.38
1980,5,12,22.34
1980,5,13,44.37
1980,5,14,48.99
1980,5,15,26.60
1980,5,16,17.25
1980,5,17,47.21
1980,5,18,55.49
1980,5,19,49.64
1980,5,20,23.08
1980,5,21,14.79
1980,5,22,12.96
1980,5,23,12.69
1980,5,24,12.24
1980,5,25,12.72
1980,5,26,12.49
1980,5,27,11.80
1980,5,28,12.99
1980,5,29,12.67
1980,5,30,11.30
1980,5,31,10.91
1980,6,1,10.70
1980,6,2,10.51
1980,6,3,10.33
1980,6,4,10.17
1980,6,5,10.00
1980,6,6,9.84
1980,6,7,9.68
1980,6,8,9.51
1980,6,9,9.35
1980,6,10,9.20
1980,6,11,9.04
1980,6,12,8.88
1980,6,13,9.14
1980,6,14,8.67
1980,6,15,8.47
1980,6,16,8.32
1980,6,17,8.17
1980,6,18,8.03
1980,6,19,7.90
1980,6,20,7.76
1980,6,21,7.63
1980,6,22,15.19
1980,6,23,16.81
1980,6,24,12.40
1980,6,25,8.37
