Year,Month,Day,MIROC-ESM
1980,1,1,3.28
1980,1,2,3.16
1980,1,3,3.10
1980,1,4,3.04
1980,1,5,2.99
1980,1,6,2.94
1980,1,7,2.90
1980,1,8,2.85
1980,1,9,2.80
1980,1,10,2.75
1980,1,11,2.70
1980,1,12,2.66
1980,1,13,2.61
1980,1,14,7.49
1980,1,15,61.25
1980,1,16,55.05
1980,1,17,34.35
1980,1,18,11.29
1980,1,19,13.05
1980,1,20,11.67
1980,1,21,11.60
1980,1,22,8.82
1980,1,23,30.96
1980,1,24,11.84
1980,1,25,6.70
1980,1,26,24.07
1980,1,27,48.58
1980,1,28,31.23
1980,1,29,11.65
1980,1,30,7.28
1980,1,31,6.32
1980,2,1,6.05
1980,2,2,5.92
1980,2,3,5.82
1980,2,4,5.72
1980,2,5,5.62
1980,2,6,5.53
1980,2,7,5.44
1980,2,8,5.34
1980,2,9,5.25
1980,2,10,5.16
1980,2,11,16.63
1980,2,12,6.28
1980,2,13,5.32
1980,2,14,5.07
1980,2,15,4.96
1980,2,16,4.87
1980,2,17,4.78
1980,2,18,4.70
1980,2,19,4.62
1980,2,20,4.55
1980,2,21,4.47
1980,2,22,4.40
1980,2,23,4.32
1980,2,24,4.25
1980,2,25,4.18
1980,2,26,4.15
1980,2,27,6.29
1980,2,28,6.83
1980,2,29,4.03
1980,3,1,3.93
1980,3,2,3.86
1980,3,3,4.86
1980,3,4,15.64
1980,3,5,22.89
1980,3,6,7.24
1980,3,7,4.67
1980,3,8,5.35
1980,3,9,9.03
1980,3,10,5.28
1980,3,11,4.24
1980,3,12,4.42
1980,3,13,19.36
1980,3,14,6.08
1980,3,15,4.39
1980,3,16,8.29
1980,3,17,45.78
1980,3,18,31.98
1980,3,19,26.79
1980,3,20,16.11
1980,3,21,7.41
1980,3,22,5.42
1980,3,23,5.17
1980,3,24,5.05
1980,3,25,4.96
1980,3,26,4.88
1980,3,27,4.79
1980,3,28,4.71
1980,3,29,6.97
1980,3,30,26.45
1980,3,31,11.46
1980,4,1,5.81
1980,4,2,4.99
1980,4,3,4.78
1980,4,4,10.00
1980,4,5,22.76
1980,4,6,32.84
1980,4,7,32.07
1980,4,8,16.74
1980,4,9,12.87
1980,4,10,25.60
1980,4,11,41.29
1980,4,12,70.82
1980,4,13,74.76
1980,4,14,62.83
1980,4,15,40.57
1980,4,16,18.36
1980,4,17,24.95
1980,4,18,57.23
1980,4,19,58.72
1980,4,20,49.70
1980,4,21,22.09
1980,4,22,12.85
1980,4,23,31.35
1980,4,24,34.83
1980,4,25,15.02
1980,4,26,14.72
1980,4,27,17.75
1980,4,28,18.47
1980,4,29,13.08
1980,4,30,12.33
1980,5,1,43.90
1980,5,2,48.99
1980,5,3,25.40
1980,5,4,14.99
1980,5,5,21.73
1980,5,6,32.14
1980,5,7,32.47
1980,5,8,26.19
1980,5,9,28.94
1980,5,10,34.36
1980,5,11,50.63
1980,5,12,43.48
1980,5,13,32.75
1980,5,14,30.37
1980,5,15,31.49
1980,5,16,29.90
1980,5,17,48.28
1980,5,18,48.58
1980,5,19,40.68
1980,5,20,40.44
1980,5,21,30.85
1980,5,22,22.42
1980,5,23,22.47
1980,5,24,25.77
1980,5,25,20.51
1980,5,26,17.59
1980,5,27,18.36
1980,5,28,17.44
1980,5,29,18.94
1980,5,30,19.44
1980,5,31,16.51
1980,6,1,25.92
1980,6,2,48.44
1980,6,3,25.19
1980,6,4,38.18
1980,6,5,26.14
1980,6,6,19.77
1980,6,7,27.95
1980,6,8,17.94
1980,6,9,18.18
1980,6,10,20.66
1980,6,11,23.48
1980,6,12,19.98
1980,6,13,16.49
1980,6,14,13.11
1980,6,15,12.43
1980,6,16,19.43
1980,6,17,12.89
1980,6,18,11.99
1980,6,19,11.67
1980,6,20,11.46
1980,6,21,13.95
1980,6,22,12.71
1980,6,23,11.25
1980,6,24,10.82
1980,6,25,10.59
1980,6,26,10.41
1980,6,27,10.24
1980,6,28,10.06
1980,6,29,9.90
1980,6,30,9.73
1980,7,1,9.56
1980,7,2,9.41
1980,7,3,9.25
1980,7,4,9.10
1980,7,5,8.95
1980,7,6,8.80
1980,7,7,8.65
1980,7,8,8.50
1980,7,9,8.36
1980,7,10,8.21
1980,7,11,8.08
1980,7,12,7.94
1980,7,13,7.80
1980,7,14,7.67
1980,7,15,7.54
1980,7,16,7.41
1980,7,17,7.29
1980,7,18,7.17
1980,7,19,7.06
1980,7,20,6.94
1980,7,21,6.82
1980,7,22,6.70
1980,7,23,6.59
1980,7,24,6.47
1980,7,25,6.37
1980,7,26,6.26
1980,7,27,33.59
1980,7,28,40.98
1980,7,29,15.41
1980,7,30,8.61
1980,7,31,7.20
1980,8,1,6.83
1980,8,2,6.67
1980,8,3,6.55
1980,8,4,6.43
1980,8,5,6.60
1980,8,6,6.31
1980,8,7,6.15
1980,8,8,6.03
1980,8,9,5.92
1980,8,10,5.82
1980,8,11,10.67
1980,8,12,6.34
1980,8,13,5.73
1980,8,14,5.55
1980,8,15,5.45
1980,8,16,5.35
1980,8,17,8.06
1980,8,18,18.43
1980,8,19,12.48
1980,8,20,15.37
1980,8,21,43.08
1980,8,22,46.43
1980,8,23,31.79
1980,8,24,11.55
1980,8,25,7.73
1980,8,26,6.86
1980,8,27,6.59
1980,8,28,6.45
1980,8,29,10.87
1980,8,30,38.54
1980,8,31,15.91
1980,9,1,11.98
1980,9,2,7.49
1980,9,3,6.74
1980,9,4,6.54
1980,9,5,15.30
1980,9,6,8.07
1980,9,7,6.64
1980,9,8,6.30
1980,9,9,19.48
1980,9,10,10.88
1980,9,11,7.39
1980,9,12,14.59
1980,9,13,13.55
1980,9,14,8.33
1980,9,15,6.61
1980,9,16,6.15
1980,9,17,5.97
