Year,Month,Day,inmcm4
1980,1,1,8.99
1980,1,2,8.84
1980,1,3,8.69
1980,1,4,8.55
1980,1,5,8.40
1980,1,6,8.26
1980,1,7,8.12
1980,1,8,7.99
1980,1,9,7.86
1980,1,10,7.73
1980,1,11,7.60
1980,1,12,7.47
1980,1,13,7.34
1980,1,14,7.22
1980,1,15,7.10
1980,1,16,6.98
1980,1,17,6.87
1980,1,18,6.75
1980,1,19,6.64
1980,1,20,6.53
1980,1,21,6.42
1980,1,22,6.31
1980,1,23,6.20
1980,1,24,6.10
1980,1,25,6.00
1980,1,26,5.90
1980,1,27,5.80
1980,1,28,5.70
1980,1,29,5.61
1980,1,30,5.51
1980,1,31,5.42
1980,2,1,5.33
1980,2,2,5.25
1980,2,3,5.16
1980,2,4,5.07
1980,2,5,4.98
1980,2,6,4.90
1980,2,7,4.82
1980,2,8,4.74
1980,2,9,4.66
1980,2,10,4.58
1980,2,11,4.51
1980,2,12,4.43
1980,2,13,4.36
1980,2,14,4.28
1980,2,15,4.21
1980,2,16,4.14
1980,2,17,4.07
1980,2,18,4.00
1980,2,19,3.93
1980,2,20,3.87
1980,2,21,3.81
1980,2,22,3.74
1980,2,23,3.68
1980,2,24,3.61
1980,2,25,3.55
1980,2,26,3.50
1980,2,27,3.44
1980,2,28,3.38
1980,2,29,3.33
1980,3,1,3.27
1980,3,2,3.22
1980,3,3,3.16
1980,3,4,3.11
1980,3,5,3.05
1980,3,6,3.00
1980,3,7,2.95
1980,3,8,2.90
1980,3,9,3.25
1980,3,10,5.23
1980,3,11,2.80
1980,3,12,2.76
1980,3,13,2.71
1980,3,14,2.67
1980,3,15,2.62
1980,3,16,2.58
1980,3,17,2.53
1980,3,18,8.67
1980,3,19,41.89
1980,3,20,56.34
1980,3,21,56.50
1980,3,22,50.57
1980,3,23,26.70
1980,3,24,8.61
1980,3,25,6.13
1980,3,26,5.58
1980,3,27,5.40
1980,3,28,5.29
1980,3,29,5.20
1980,3,30,5.11
1980,3,31,5.03
1980,4,1,4.94
1980,4,2,7.24
1980,4,3,5.85
1980,4,4,4.77
1980,4,5,38.29
1980,4,6,44.64
1980,4,7,47.84
1980,4,8,39.75
1980,4,9,17.23
1980,4,10,11.52
1980,4,11,7.37
1980,4,12,11.46
1980,4,13,9.69
1980,4,14,13.72
1980,4,15,32.28
1980,4,16,42.00
1980,4,17,49.02
1980,4,18,43.78
1980,4,19,25.76
1980,4,20,40.25
1980,4,21,47.85
1980,4,22,79.95
1980,4,23,89.44
1980,4,24,75.92
1980,4,25,59.50
1980,4,26,52.51
1980,4,27,47.39
1980,4,28,36.22
1980,4,29,59.41
1980,4,30,61.92
1980,5,1,68.47
1980,5,2,82.31
1980,5,3,91.03
1980,5,4,84.16
1980,5,5,66.37
1980,5,6,48.47
1980,5,7,37.87
1980,5,8,61.56
1980,5,9,61.31
1980,5,10,54.75
1980,5,11,64.36
1980,5,12,65.03
1980,5,13,50.51
1980,5,14,39.79
1980,5,15,32.74
1980,5,16,26.58
1980,5,17,27.31
1980,5,18,29.41
1980,5,19,26.77
1980,5,20,27.49
1980,5,21,29.68
1980,5,22,25.38
